"client_id","age","region","prefere_produit_local"
1,46,"Rural",FALSE
2,66,"Urban - Medium Density",TRUE
3,29,"Urban - High Density",FALSE
4,57,"Urban - Medium Density",TRUE
5,65,"Rural",TRUE
6,58,"Urban - High Density",TRUE
7,29,"Urban - Medium Density",TRUE
8,40,"",FALSE
9,72,"Urban - High Density",FALSE
10,24,"Urban - High Density",TRUE
11,41,"Urban - High Density",TRUE
12,22,"Urban - High Density",TRUE
13,57,"Urban - Medium Density",FALSE
14,24,"Urban - High Density",TRUE
15,51,"Urban - Medium Density",TRUE
16,58,"",TRUE
17,30,"Urban - Medium Density",TRUE
18,47,"Urban - High Density",FALSE
19,22,"Urban - Medium Density",FALSE
20,24,"Urban - Medium Density",FALSE
21,56,"Urban - High Density",FALSE
22,38,"Urban - High Density",FALSE
23,42,"Urban - High Density",TRUE
24,75,"Rural",TRUE
25,68,"Urban - Medium Density",TRUE
26,22,"Rural",TRUE
27,68,"Urban - High Density",TRUE
28,42,"Urban - High Density",FALSE
29,53,"Rural",TRUE
30,49,"Urban - High Density",FALSE
31,78,"Urban - Medium Density",NA
32,28,"Unknown",TRUE
33,40,"Urban - High Density",TRUE
34,53,"",FALSE
35,36,"Urban - High Density",FALSE
36,56,"Urban - High Density",FALSE
37,62,"Urban - High Density",TRUE
38,75,"Rural",FALSE
39,31,"Unknown",FALSE
40,21,"Urban - Medium Density",TRUE
41,54,"Urban - High Density",TRUE
42,46,"Urban - High Density",NA
43,65,"Urban - High Density",FALSE
44,49,"Urban - Medium Density",TRUE
45,19,"Urban - Medium Density",TRUE
46,28,"Urban - High Density",TRUE
47,40,"Urban - Medium Density",TRUE
48,67,"Urban - Medium Density",NA
49,37,"Urban - Medium Density",FALSE
50,47,"Urban - Medium Density",FALSE
51,40,"Urban - High Density",TRUE
52,50,"Urban - Medium Density",TRUE
53,55,"Rural",FALSE
54,45,"Urban - High Density",TRUE
55,27,"Urban - High Density",TRUE
56,46,"Urban - Medium Density",TRUE
57,45,"Urban - High Density",FALSE
58,79,"Rural",TRUE
59,29,"Urban - High Density",FALSE
60,38,"Urban - Medium Density",TRUE
61,52,"Urban - Medium Density",TRUE
62,23,"Urban - Medium Density",FALSE
63,66,"Urban - Medium Density",FALSE
64,65,"Urban - Medium Density",FALSE
65,61,"Rural",TRUE
66,32,"Urban - High Density",TRUE
67,77,"",NA
68,61,"Urban - High Density",TRUE
69,69,"Urban - Medium Density",FALSE
70,50,"Urban - High Density",TRUE
71,39,"Urban - High Density",TRUE
72,22,"Rural",TRUE
73,38,"Urban - High Density",TRUE
74,41,"Urban - Medium Density",FALSE
75,47,"Urban - High Density",TRUE
76,22,"Urban - High Density",TRUE
77,42,"Urban - High Density",TRUE
78,57,"Urban - Medium Density",TRUE
79,20,"Unknown",TRUE
80,31,"Urban - High Density",TRUE
81,39,"Urban - High Density",FALSE
82,47,"Urban - Medium Density",NA
83,36,"Urban - High Density",TRUE
84,70,"Urban - High Density",NA
85,51,"Urban - High Density",TRUE
86,54,"Urban - High Density",FALSE
87,69,"Urban - Medium Density",TRUE
88,24,"Urban - Medium Density",TRUE
89,63,"Urban - Medium Density",TRUE
90,71,"Urban - High Density",TRUE
91,54,"Urban - High Density",FALSE
92,5,"Urban - High Density",TRUE
93,55,"Urban - Medium Density",FALSE
94,45,"Urban - Medium Density",TRUE
95,31,"Urban - High Density",TRUE
96,69,"Urban - High Density",FALSE
97,63,"Rural",TRUE
98,35,"",TRUE
99,51,"Rural",FALSE
100,67,"Rural",TRUE
101,37,"Urban - High Density",TRUE
102,64,"Urban - Medium Density",TRUE
103,57,"Urban - Medium Density",TRUE
104,74,"Urban - High Density",NA
105,26,"Urban - Medium Density",FALSE
106,70,"Rural",FALSE
107,23,"Urban - High Density",FALSE
108,61,"Rural",TRUE
109,61,"Urban - High Density",FALSE
110,59,"Urban - Medium Density",TRUE
111,47,"Urban - Medium Density",FALSE
112,51,"Urban - Medium Density",TRUE
113,60,"Urban - High Density",TRUE
114,29,"Urban - High Density",TRUE
115,31,"Urban - High Density",TRUE
116,48,"Urban - High Density",TRUE
117,55,"Urban - High Density",FALSE
118,55,"Urban - Medium Density",TRUE
119,25,"Urban - High Density",TRUE
120,24,"Unknown",TRUE
121,22,"Urban - High Density",TRUE
122,22,"Urban - Medium Density",TRUE
123,73,"Urban - High Density",TRUE
124,76,"Urban - High Density",TRUE
125,39,"Urban - High Density",FALSE
126,78,"",TRUE
127,69,"Urban - Medium Density",FALSE
128,38,"Urban - High Density",FALSE
129,41,"Rural",TRUE
130,48,"Urban - Medium Density",FALSE
131,72,"Urban - High Density",FALSE
132,44,"Rural",FALSE
133,25,"Urban - Medium Density",TRUE
134,68,"Urban - High Density",FALSE
135,69,"Urban - High Density",FALSE
136,26,"Urban - Medium Density",FALSE
137,40,"Urban - Medium Density",NA
138,67,"Urban - High Density",TRUE
139,41,"Urban - Medium Density",TRUE
140,22,"Urban - Medium Density",TRUE
141,40,"Urban - Medium Density",TRUE
142,47,"Rural",TRUE
143,39,"Rural",TRUE
144,72,"Rural",FALSE
145,38,"Urban - High Density",TRUE
146,29,"Urban - High Density",TRUE
147,21,"Rural",TRUE
148,5,"Rural",FALSE
149,73,"Urban - Medium Density",TRUE
150,44,"Urban - Medium Density",TRUE
151,41,"Urban - Medium Density",NA
152,42,"Urban - High Density",TRUE
153,22,"Urban - High Density",TRUE
154,75,"Urban - High Density",TRUE
155,41,"Urban - High Density",FALSE
156,56,"Rural",TRUE
157,21,"Urban - Medium Density",FALSE
158,46,"Urban - High Density",FALSE
159,32,"Urban - High Density",FALSE
160,79,"Urban - High Density",FALSE
