"produit_id","nom","saison","local","prix_unitaire"
1,"Strawberry","Unknown",TRUE,4.42
2,"Grape","Unknown",TRUE,10.56
3,"Raspberry","Unknown",FALSE,10.26
4,"Watermelon","Unknown",TRUE,12.08
5,"Apricot","Summer",FALSE,10.18
6,"Walnut","Summer",TRUE,-3.25
7,"Lettuce","Unknown",TRUE,8.68
8,"Garlic","Winter",TRUE,3.66
9,"Onion","Unknown",TRUE,5.01
10,"Blueberry","Summer",FALSE,4.44
11,"Strawberry","Summer",TRUE,5.35
12,"Banana","All Seasons",TRUE,10.29
13,"Cucumber","All Seasons",NA,8.17
14,"Fig","Summer",TRUE,3.67
15,"Cabbage","All Seasons",FALSE,3.34
16,"Chestnut","Summer",TRUE,3.39
17,"Pea","All Seasons",TRUE,-2.07
18,"Apple","All Seasons",TRUE,14.07
19,"Banana","Winter",TRUE,-0.17
20,"Corn","All Seasons",TRUE,12.25
21,"Sweet Potato","All Seasons",TRUE,12.3
22,"Green Bean","All Seasons",FALSE,-4.21
23,"Corn","Winter",FALSE,1.53
24,"Asparagus","Winter",FALSE,2.01
25,"Broccoli","All Seasons",TRUE,3.11
26,"Mango","Summer",TRUE,-1.79
27,"Peach","Winter",TRUE,13.88
28,"Raspberry","Unknown",TRUE,14.97
29,"Orange","Summer",FALSE,9.07
30,"Lychee","All Seasons",TRUE,1.21
31,"Chestnut","All Seasons",NA,0.13
32,"Raspberry","All Seasons",TRUE,12.49
33,"Banana","All Seasons",TRUE,13.25
34,"Celery","Winter",TRUE,5.77
35,"Hazelnut","All Seasons",TRUE,6.96
36,"Raspberry","Summer",TRUE,5.87
37,"Radish","Unknown",TRUE,7.32
38,"Apricot","Summer",TRUE,8.8
39,"Mango","All Seasons",TRUE,10.84
40,"Orange","Winter",FALSE,3.87
41,"Strawberry","Summer",TRUE,4.94
42,"Pomegranate","Winter",TRUE,10.95
43,"Pear","Unknown",TRUE,4.62
44,"Apple","Summer",TRUE,9.24
45,"Apricot","All Seasons",TRUE,7.43
46,"Chestnut","All Seasons",TRUE,-4.08
47,"Mango","Summer",FALSE,2.32
48,"Blueberry","Winter",TRUE,0.78
49,"Cherry","Summer",NA,1.84
50,"Sweet Potato","Unknown",FALSE,1.01
