"transaction_id","client_id","produit_id","quantite","date_achat","paiement_valide","temps_livraison_jours","nom","saison","local","prix_unitaire","montant_total","age","region","prefere_produit_local"
1,972,9,6,2023-01-04,TRUE,50,"Onion","Unknown",TRUE,5.01,30.06,23,"Urban - Medium Density",TRUE
2,1648,37,0,2023-03-19,TRUE,7,"Radish","Unknown",TRUE,7.32,0,34,"Rural",FALSE
3,947,50,9,2023-09-11,TRUE,-2,"Sweet Potato","Unknown",FALSE,1.01,9.09,5,"Urban - High Density",TRUE
4,844,27,-3,2023-10-17,TRUE,50,"Peach","Winter",TRUE,13.88,-41.64,20,"Urban - High Density",TRUE
5,1639,43,8,2023-11-21,TRUE,3,"Pear","Unknown",TRUE,4.62,36.96,49,"Urban - High Density",TRUE
6,1655,47,0,2023-01-31,TRUE,5,"Mango","Summer",FALSE,2.32,0,63,"Urban - High Density",FALSE
7,1447,13,3,2023-04-06,TRUE,2,"Cucumber","All Seasons",NA,8.17,24.51,74,"Urban - High Density",TRUE
8,1183,28,2,2023-06-05,FALSE,5,"Raspberry","Unknown",TRUE,14.97,29.94,76,"Rural",TRUE
9,1206,50,3,2023-08-07,TRUE,6,"Sweet Potato","Unknown",FALSE,1.01,3.03,37,"Urban - High Density",FALSE
10,1769,28,-3,2023-05-17,TRUE,-2,"Raspberry","Unknown",TRUE,14.97,-44.91,62,"Urban - High Density",FALSE
11,1789,22,3,2023-03-05,FALSE,-2,"Green Bean","All Seasons",FALSE,-4.21,-12.63,36,"Urban - Medium Density",TRUE
12,490,31,10,2023-04-16,TRUE,1,"Chestnut","All Seasons",NA,0.13,1.3,26,"Urban - Medium Density",FALSE
13,491,30,7,2023-10-06,TRUE,5,"Lychee","All Seasons",TRUE,1.21,8.47,75,"Urban - Medium Density",TRUE
14,949,7,0,2023-08-30,TRUE,4,"Lettuce","Unknown",TRUE,8.68,0,29,"Urban - High Density",FALSE
15,1546,30,0,2023-05-06,TRUE,5,"Lychee","All Seasons",TRUE,1.21,0,54,"Rural",TRUE
16,7,10,5,2023-07-16,TRUE,2,"Blueberry","Summer",FALSE,4.44,22.2,29,"Urban - Medium Density",TRUE
17,1234,7,7,2023-12-17,TRUE,2,"Lettuce","Unknown",TRUE,8.68,60.76,63,"Urban - High Density",FALSE
18,1870,13,1,2023-05-28,TRUE,4,"Cucumber","All Seasons",NA,8.17,8.17,52,"Rural",TRUE
19,1925,21,10,2023-05-06,TRUE,1,"Sweet Potato","All Seasons",TRUE,12.3,123,67,"Unknown",TRUE
20,393,17,2,2023-09-29,TRUE,6,"Pea","All Seasons",TRUE,-2.07,-4.14,56,"Urban - High Density",FALSE
21,692,41,7,2023-01-11,FALSE,7,"Strawberry","Summer",TRUE,4.94,34.58,63,"Urban - Medium Density",TRUE
22,1625,22,0,2023-12-27,TRUE,7,"Green Bean","All Seasons",FALSE,-4.21,0,67,"Urban - High Density",FALSE
23,171,3,9,2023-08-11,TRUE,2,"Raspberry","Unknown",FALSE,10.26,92.34,60,"Urban - Medium Density",FALSE
24,1603,7,4,2023-06-15,TRUE,2,"Lettuce","Unknown",TRUE,8.68,34.72,48,"Urban - Medium Density",TRUE
25,1372,21,8,2023-04-29,TRUE,-2,"Sweet Potato","All Seasons",TRUE,12.3,98.4,54,"Urban - High Density",TRUE
26,529,34,9,2023-11-04,TRUE,2,"Celery","Winter",TRUE,5.77,51.93,58,"Urban - High Density",FALSE
27,1673,14,2,2023-10-03,NA,-2,"Fig","Summer",TRUE,3.67,7.34,52,"",FALSE
28,653,49,1,2023-01-06,FALSE,5,"Cherry","Summer",NA,1.84,1.84,5,"Urban - Medium Density",FALSE
29,201,49,10,2023-10-31,NA,7,"Cherry","Summer",NA,1.84,18.4,63,"Urban - High Density",FALSE
30,1434,3,9,2023-09-08,TRUE,3,"Raspberry","Unknown",FALSE,10.26,92.34,68,"Rural",TRUE
31,169,29,4,2023-11-12,TRUE,6,"Orange","Summer",FALSE,9.07,36.28,23,"Urban - High Density",FALSE
32,1104,42,2,2023-07-07,TRUE,6,"Pomegranate","Winter",TRUE,10.95,21.9,37,"Urban - Medium Density",TRUE
33,1868,7,9,2023-04-07,NA,4,"Lettuce","Unknown",TRUE,8.68,78.12,30,"Urban - Medium Density",FALSE
34,890,46,4,2023-02-10,TRUE,1,"Chestnut","All Seasons",TRUE,-4.08,-16.32,58,"Urban - High Density",NA
35,737,2,10,2023-10-16,TRUE,5,"Grape","Unknown",TRUE,10.56,105.6,46,"Urban - High Density",TRUE
36,325,11,6,2023-05-19,TRUE,4,"Strawberry","Summer",TRUE,5.35,32.1,55,"Rural",TRUE
37,1149,2,3,2023-10-17,TRUE,-2,"Grape","Unknown",TRUE,10.56,31.68,51,"Urban - Medium Density",TRUE
